City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,mount gambier,-37.8333,140.7667,9.92,69,100,3.17,AU,1693381620
288,drama,41.1544,24.1394,26.48,36,0,1.79,GR,1693381832
289,presidente medici,-11.1753,-61.9014,25.28,74,70,0.94,BR,1693381832
290,colares,38.7992,-9.4469,20.74,82,75,17.88,PT,1693381833
291,tocopilla,-22.092,-70.1979,16.96,74,17,1.0,CL,1693381833
292,borogontsy,62.6683,131.1683,25.03,51,100,2.17,RU,1693381834
293,novosergiyevka,52.0934,53.6528,18.4,39,28,9.76,RU,1693381834
294,ruteng,-8.6136,120.4721,19.67,71,74,0.54,ID,1693381697
295,el granada,37.5027,-122.4694,19.94,76,0,3.6,US,1693381835
296,tual,-5.6667,132.75,25.02,87,72,9.44,ID,1693381836
297,kawambwa,-9.7915,29.0791,24.16,33,0,3.15,ZM,1693381836
298,abaza,52.655,90.0928,18.91,73,100,2.5,RU,1693381837
299,jhargram,22.45,86.9833,35.15,45,71,2.09,IN,1693381736
300,luderitz,-26.6481,15.1594,17.68,66,13,1.56,NA,1693381838
301,nizhniy kuranakh,58.8353,125.4869,24.54,52,59,0.7,RU,1693381563
302,mejit,10.2753,170.8646,28.59,75,59,8.11,MH,1693381839
303,khanty-mansiysk,61.0042,69.0019,16.06,82,0,4.02,RU,1693381839
304,laghouat,33.8,2.8651,26.21,24,100,3.24,DZ,1693381840
305,nova sintra,14.8667,-24.7167,23.13,85,66,5.32,CV,1693381841
306,saldanha,-33.0117,17.9442,14.03,76,0,3.03,ZA,1693381841
307,funafuti,-8.5243,179.1942,30.0,84,75,4.12,TV,1693381842
308,huarmey,-10.0681,-78.1522,18.88,86,55,4.98,PE,1693381687
309,swift current,50.2834,-107.8014,22.45,43,0,12.35,CA,1693381843
310,san antonio oeste,-40.7319,-64.9477,13.5,40,100,9.09,AR,1693381662
311,itigi,-5.7,34.4833,24.15,40,13,4.66,TZ,1693381845
312,vila velha,-20.3297,-40.2925,21.08,97,100,1.54,BR,1693381845
313,prado,-17.3411,-39.2208,21.3,95,36,1.19,BR,1693381614
314,ceeldheer,3.8488,47.1806,30.03,53,85,11.02,SO,1693381846
315,aitape,-3.1374,142.3475,27.87,80,25,3.02,PG,1693381846
316,cockburn town,21.4612,-71.1419,29.13,83,100,8.21,TC,1693381847
317,kruisfontein,-34.0033,24.7314,28.1,15,0,7.1,ZA,1693381848
318,el calafate,-50.3408,-72.2768,-0.24,86,32,2.28,AR,1693381849
319,patterson,37.4716,-121.1297,23.28,68,0,1.84,US,1693381665
320,mossel bay,-34.1831,22.146,28.96,34,0,3.32,ZA,1693381578
321,sitka,57.0531,-135.33,15.94,82,100,3.6,US,1693381850
322,dimitrovgrad,54.2139,49.6184,19.45,36,57,5.72,RU,1693381850
323,chivilcoy,-34.8957,-60.0167,6.94,70,30,3.41,AR,1693381851
324,likiep,9.8251,169.3107,28.66,77,93,7.39,MH,1693381851
325,kota bharu,6.1333,102.2386,30.97,74,20,4.12,MY,1693381811
326,katabu,-4.9333,122.5167,29.87,48,27,2.12,ID,1693381852
327,sen monorom,12.45,107.2,24.43,91,97,1.74,KH,1693381853
328,paracuru,-3.41,-39.0306,24.08,89,23,4.18,BR,1693381744
329,ilebo,-4.3167,20.5833,31.89,42,52,1.08,CD,1693381764
330,fisterra,42.9049,-9.2629,17.08,82,92,4.83,ES,1693381854
331,barentu,15.1139,37.5928,25.28,67,69,4.73,ER,1693381854
332,casino,-28.8667,153.05,15.31,96,91,1.73,AU,1693381855
