City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,ginir,7.1333,40.7,20.22,55,73,5.75,ET,1693382706
113,cold lake,54.4502,-110.2017,16.13,61,2,2.37,CA,1693382707
114,lebu,-37.6167,-73.65,8.58,82,9,4.98,CL,1693382707
115,bayanhongor,46.7167,100.1167,22.23,30,78,1.48,MN,1693382708
116,sao joao da barra,-21.6403,-41.0511,21.29,87,100,6.01,BR,1693382708
117,awjilah,29.1081,21.2869,33.23,28,0,5.1,LY,1693382709
118,kapa'a,22.0752,-159.319,28.18,77,100,7.72,US,1693382709
119,hithadhoo,-0.6,73.0833,28.23,70,100,4.97,MV,1693382710
120,wailua homesteads,22.0669,-159.378,27.44,77,100,7.72,US,1693382711
121,basse santa su,13.31,-14.2137,23.67,96,100,1.71,GM,1693382711
122,georgetown,5.4112,100.3354,32.96,55,20,5.14,MY,1693382477
123,port moresby,-9.4431,147.1797,23.64,71,93,5.78,PG,1693382713
124,la maddalena,41.2142,9.4083,24.03,58,0,13.75,IT,1693382713
125,chibougamau,49.9168,-74.3659,8.79,93,100,3.09,CA,1693382714
126,tura,25.5198,90.2201,32.14,56,37,2.02,IN,1693382714
127,tarko-sale,64.9225,77.785,12.38,77,99,2.34,RU,1693382715
128,bereznik,62.8551,42.7072,18.91,59,34,2.32,RU,1693382715
129,vilyuchinsk,52.9306,158.4028,15.15,86,3,1.24,RU,1693382716
130,huarmey,-10.0681,-78.1522,18.88,86,55,4.98,PE,1693382716
131,nadym,65.5333,72.5167,14.85,57,95,3.16,RU,1693382717
132,tralee,52.2704,-9.7026,12.14,94,75,0.51,IE,1693382717
133,zhongshu,24.5167,103.7667,20.68,79,98,2.67,CN,1693382679
134,mount isa,-20.7333,139.5,29.87,10,6,7.72,AU,1693382718
135,logansport,40.7545,-86.3567,15.03,94,0,2.06,US,1693382719
136,ust-nera,64.5667,143.2,21.87,45,87,8.55,RU,1693382720
137,muhoroni,-0.1541,35.1988,25.43,59,48,1.08,KE,1693382720
138,mili,6.0815,171.735,29.18,77,90,6.97,MH,1693382721
139,ola,59.5833,151.2833,18.97,90,34,3.28,RU,1693382721
140,castillos,-34.1667,-53.8333,7.87,94,0,1.71,UY,1693382722
141,arraial do cabo,-22.9661,-42.0278,20.65,90,96,6.59,BR,1693382722
142,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.0,GF,1693382723
143,mascote,-15.5631,-39.3025,20.62,99,42,0.73,BR,1693382723
144,la gi,10.6667,107.7833,30.16,72,94,5.95,VN,1693382534
145,kununurra,-15.7667,128.7333,34.99,14,100,3.6,AU,1693382724
146,broken hill,-31.95,141.4333,16.59,45,14,8.68,AU,1693382432
147,itirucu,-13.5317,-40.1503,16.23,98,18,0.65,BR,1693382725
148,puerto deseado,-47.7503,-65.8938,8.02,60,100,9.93,AR,1693382725
149,bredasdorp,-34.5322,20.0403,22.55,46,0,0.99,ZA,1693382726
150,fort saskatchewan,53.7168,-113.2187,21.14,73,4,2.33,CA,1693382726
151,maceio,-9.6658,-35.7353,22.69,100,20,2.06,BR,1693382727
152,hammerfest,70.6634,23.6821,12.25,87,75,2.57,NO,1693382727
153,hepo,23.4308,115.8299,29.48,73,91,4.68,CN,1693382728
154,bethel,41.3712,-73.414,22.05,88,100,0.0,US,1693382728
155,fort mcmurray,56.7268,-111.381,18.36,67,38,1.17,CA,1693382729
156,champerico,14.3,-91.9167,27.01,86,100,1.68,GT,1693382729
157,gaspe,48.8334,-64.4819,15.87,94,99,2.51,CA,1693382730
158,uvira,-3.4067,29.1458,27.26,51,44,2.41,CD,1693382730
159,utrik,11.2278,169.8474,28.48,79,97,8.72,MH,1693382731
160,touros,-5.1989,-35.4608,24.24,84,0,4.14,BR,1693382732
161,alaghsas,17.0187,8.0168,32.12,45,100,6.2,NE,1693382732
162,buka,40.8108,69.1986,34.2,15,100,6.31,UZ,1693382733
163,nema,57.5067,50.5011,16.5,41,100,4.92,RU,1693382733
164,hermanus,-34.4187,19.2345,19.89,69,0,2.49,ZA,1693382734
165,san antonio de pale,-1.4014,5.6325,23.8,90,100,6.29,GQ,1693382734
166,kodiak,57.79,-152.4072,10.73,82,100,2.06,US,1693382735
167,amahai,-3.3333,128.9167,25.7,86,82,4.91,ID,1693382735
168,itapolis,-21.5956,-48.8128,15.85,80,67,2.09,BR,1693382736
169,pandan,14.0453,124.1694,30.4,69,45,8.17,PH,1693382736
170,opuwo,-18.0607,13.84,25.45,24,0,7.56,NA,1693382737
171,nemuro,43.3236,145.575,17.05,83,34,4.35,JP,1693382468
172,sooke,48.3746,-123.7276,14.14,94,100,3.44,CA,1693382737
173,san borja,-14.8167,-66.85,25.24,57,87,0.39,BO,1693382738
174,sidi bennour,32.6524,-8.4277,20.85,81,11,2.4,MA,1693382739
175,cabo san lucas,22.8909,-109.9124,29.17,83,10,0.45,MX,1693382740
176,santa maria,-29.6842,-53.8069,10.42,94,0,1.52,BR,1693382740
177,kendari,-3.945,122.4989,28.73,51,0,3.51,ID,1693382741
178,lagos,6.5833,3.75,25.64,88,100,1.57,NG,1693382741
179,sarkand,45.41,79.9186,31.59,10,47,3.68,KZ,1693382742
180,patacamaya,-17.2333,-67.9167,5.43,84,20,2.8,BO,1693382743
181,skeldon,5.8833,-57.1333,25.13,89,0,2.42,GY,1693382743
182,susuman,62.7833,148.1667,20.13,48,17,4.01,RU,1693382744
183,severo-yeniseyskiy,60.3725,93.0408,19.18,47,2,2.61,RU,1693382745
184,meizhou,24.2977,116.1072,29.71,68,72,3.1,CN,1693382679
185,kaga bandoro,6.9896,19.1874,25.02,83,100,1.61,CF,1693382746
186,santyoku,37.4406,129.1708,23.75,97,100,1.05,KR,1693382747
187,kenai,60.5544,-151.2583,11.16,91,40,2.57,US,1693382747
188,atlantis,-33.5667,18.4834,17.97,86,2,3.5,ZA,1693382748
189,shingu,33.7333,135.9833,25.92,88,100,1.29,JP,1693382748
190,saldanha,-33.0117,17.9442,18.07,76,0,3.03,ZA,1693382749
191,anjozorobe,-18.4,47.8667,13.1,82,93,5.67,MG,1693382749
192,qaqortoq,60.7167,-46.0333,6.53,94,62,0.45,GL,1693382750
193,port mathurin,-19.6833,63.4167,22.56,74,11,5.14,MU,1693382750
194,selfoss,63.9331,-20.9971,10.02,85,100,2.86,IS,1693382751
195,floriano,-6.7669,-43.0225,24.68,54,17,1.39,BR,1693382751
196,polyarnyy,69.1989,33.4478,13.38,76,90,6.34,RU,1693382751
197,port alfred,-33.5906,26.891,26.74,28,0,3.91,ZA,1693382752
198,tahla,34.0485,-4.428,23.06,40,0,1.61,MA,1693382752
199,saint-joseph,-21.3667,55.6167,24.15,81,78,6.95,RE,1693382753
200,alofi,-19.0595,-169.9187,23.29,61,100,9.99,NU,1693382754
201,atafu village,-8.5421,-172.5159,28.32,80,7,7.91,TK,1693382754
202,riyadh,24.6877,46.7219,40.08,9,10,6.95,SA,1693382628
203,gurupi,-11.7292,-49.0686,24.93,71,85,1.96,BR,1693382755
204,impfondo,1.6381,18.0667,28.67,59,24,1.28,CG,1693382755
205,anadyr,64.75,177.4833,10.28,61,0,3.58,RU,1693382756
206,lihue,21.9789,-159.3672,27.77,70,100,7.72,US,1693382757
207,akureyri,65.6835,-18.0878,10.98,71,100,0.63,IS,1693382757
208,xinzhi,36.4989,111.7047,31.5,28,2,2.37,CN,1693382757
209,st. john's,47.5649,-52.7093,15.66,93,75,6.69,CA,1693382758
210,clear lake,43.138,-93.3794,16.63,92,0,2.06,US,1693382758
211,avarua,-21.2078,-159.775,21.03,68,75,1.54,CK,1693382759
212,saudarkrokur,65.7461,-19.6394,11.22,71,100,1.1,IS,1693382759
213,santa marta de ortigueira,43.6833,-7.85,17.36,86,96,0.45,ES,1693382760
214,minas de marcona,-15.2119,-75.1103,12.27,89,63,5.84,PE,1693382761
215,whitehorse,60.7161,-135.0538,13.9,92,8,2.89,CA,1693382762
216,cabedelo,-6.9811,-34.8339,23.37,80,34,4.54,BR,1693382762
217,barcelos,41.5388,-8.6151,19.4,76,17,2.67,PT,1693382763
218,egilsstadir,65.2653,-14.3948,10.3,67,74,1.2,IS,1693382764
219,palasa,18.7667,84.4167,33.27,50,28,2.99,IN,1693382764
220,ak-dovurak,51.1833,90.6,24.56,45,100,1.39,RU,1693382766
221,storm lake,42.6411,-95.2097,18.12,88,75,2.57,US,1693382766
222,rio rancho,35.2334,-106.6645,23.4,48,6,3.58,US,1693382767
223,ambatofinandrahana,-20.55,46.8,16.59,47,40,4.53,MG,1693382573
224,klaksvik,62.2266,-6.589,9.51,86,99,6.66,FO,1693382768
225,meulaboh,4.1363,96.1285,29.87,65,81,3.1,ID,1693382769
